Category,Order,Topic,Notes
Lecture 01,1,Types of ML and examples,
Lecture 01,2,Upcoming topics and course structure,
Lecture 01,3,Linear regression (ERM),
Lecture 01,4,OLS (normal equation),
Lecture 01,5,Design matrix and vectorized implementation,
Lecture 01,6,Polynomial regression,
Lecture 02,1,Missing data handling,
Lecture 02,2,Categorical variable encoding,
Lecture 02,3,Scaling and normalization,
Unassigned,1,Interpretation of linear regression coefficients,
Unassigned,2,Assumptions / BLUE,
Concepts,1,Bias-variance tradeoff,
Concepts,2,Overfitting vs underfitting,
Concepts,3,Hyperparameter tuning,
Concepts,4,Regularization,
Concepts,5,"train val test split, Cross-validation",
Evaluation,1,"Regression metrics: MSE, MAE, R², adjusted R², RMSE, MAPE, Correlations (Pearson, Spearman, Kendall), AIC, BIC, residual diagnostics (heteroscedasticity, non-normality, outliers), QQ plots, leverage + influence (Cook's distance).",
Evaluation,2,"Classification metrics: Accuracy, confusion matrix, precision, recall, F1, ROC AUC, PR AUC",
Evaluation,3,"Clustering metrics: Silhouette score, Davies-Bouldin index, Calinski-Harabasz index, elbow method (inertia)",
Unassigned,3,Experiment tracking,
Unassigned,4,Interpretable ML,
Practical concepts,1,Feature engineering,
Practical concepts,2,Feature selection,
Practical concepts,3,Data leakage,
Practical concepts,4,"Model interpretability (feature importance, partial dependence plots, SHAP values)",
Practical concepts,5,Imbalanced data handling,
Practical concepts,6,"Model deployment (scaling, monitoring, retraining)",
Supervised learning,1,Linear regression,
Supervised learning,2,Polynomial regression,
Supervised learning,3,Logistic regression,
Supervised learning,4,Naive Bayes,briefly
Supervised learning,5,KNN,briefly
Supervised learning,6,Decision trees,
Supervised learning,7,Random forests,
Supervised learning,8,"Gradient boosting (XGBoost, LightGBM, CatBoost)",
Supervised learning,9,Support vector machines,optional
Supervised learning,10,Neural networks,
Unsupervised learning,1,K-means clustering,
Unsupervised learning,2,Hierarchical clustering,
Unsupervised learning,3,DBSCAN,
Unsupervised learning,4,Principal component analysis (PCA),
Unsupervised learning,5,t-SNE,optional
Unsupervised learning,6,Autoencoders,optional
Unsupervised learning,7,Generative adversarial networks (GANs),optional
Unsupervised learning,8,Topic modeling (LDA),optional
Unsupervised learning,9,Association rule learning (Apriori),optional
Unsupervised learning,10,"Anomaly detection (isolation forest, one-class SVM)",optional
Unsupervised learning,11,"Dimensionality reduction (PCA, t-SNE, UMAP)",
Unsupervised learning,12,"Recommender systems (collaborative filtering, content-based filtering)",optional
